id,image,conversations
0,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả tam đình?'}, {'from': 'gpt', 'value': 'Tam đình: Trung đình thấp, Thượng và hạ đình cao.'}]"
1,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả mặt?'}, {'from': 'gpt', 'value': 'Mặt\xa0ngang + cốt ẩn -> tướng\xa0Hỏa.'}]"
2,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả mắt?'}, {'from': 'gpt', 'value': 'Mắt\xa0hẹp, sâu.'}]"
3,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả chân mày?'}, {'from': 'gpt', 'value': 'Chân mày rậm, xa nhau'}]"
4,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả sơn căn, mũi?'}, {'from': 'gpt', 'value': 'Sơn căn\xa0cao, mũi\xa0cao, nhiều thịt.'}]"
5,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả gò má?'}, {'from': 'gpt', 'value': 'Gò má\xa0cao,\xa0nhiều thịt.'}]"
6,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả miệng?'}, {'from': 'gpt', 'value': 'Miệng hẹp, môi trên mỏng.'}]"
7,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả trán?'}, {'from': 'gpt', 'value': 'Trán rộng.'}]"
8,original/hỏa/1.png,"[{'from': 'human', 'value': '<image>\nHãy mô tả vị trí tai và lông mày?'}, {'from': 'gpt', 'value': 'Vị trí tai\xa0 ngang lông mày.'}]"
9,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả Tam đình?'}, {'from': 'gpt', 'value': 'Tam đình: Trung đình vừa, Thượng và hạ đình cao.\u200b'}]"
10,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mặt?'}, {'from': 'gpt', 'value': 'Mặt ngang + cốt ẩn -> tướng Hỏa.\u200b'}]"
11,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mắt?'}, {'from': 'gpt', 'value': 'Mắt to, sâu.\u200b'}]"
12,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả cánh mũi và mũi?'}, {'from': 'gpt', 'value': 'Sơn căn cao, mũi cao, cánh mũi hẹp.\u200b'}]"
13,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả gò má?'}, {'from': 'gpt', 'value': 'Gò má cao, nhiều thịt.\u200b'}]"
14,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả miệng và môi?'}, {'from': 'gpt', 'value': 'Miệng rộng, môi trên mỏng.\u200b'}]"
15,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả trán?'}, {'from': 'gpt', 'value': 'Trán cao, rộng, phẳng.\u200b'}]"
16,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả tai và vị trí tai?'}, {'from': 'gpt', 'value': 'Tai dài, dái tai lớn. Vị trí tai cao ngang chân mày.\u200b'}]"
17,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả lông mày và khoảng cách giữa 2 lông mày?'}, {'from': 'gpt', 'value': 'Lông mày đậm, khoảng cách 2 mày xa nhau.\u200b'}]"
18,original/hỏa/13.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả hàm?'}, {'from': 'gpt', 'value': 'Hàm hơi bạnh.\u200b'}]"
19,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả Tam đình?'}, {'from': 'gpt', 'value': 'Tam đình: Trung đình vừa, Thượng và hạ đình cao.\u200b'}]"
20,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mặt?'}, {'from': 'gpt', 'value': 'Mặt ngang + cốt ẩn -> tướng Hỏa.\u200b'}]"
21,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mắt?'}, {'from': 'gpt', 'value': 'Mắt vừa, sâu.\u200b'}]"
22,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả sơn căn, mũi?'}, {'from': 'gpt', 'value': 'Sơn căn cao, mũi cao, nhiều thịt.\u200b'}]"
23,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả gò má?'}, {'from': 'gpt', 'value': 'Gò má thấp, nhiều thịt.\u200b'}]"
24,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả miệng và môi?'}, {'from': 'gpt', 'value': 'Miệng rộng, môi trên mỏng.\u200b'}]"
25,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả trán?'}, {'from': 'gpt', 'value': 'Trán cao, rộng, phẳng.\u200b'}]"
26,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả tai và vị trí cao ngang chân mày?'}, {'from': 'gpt', 'value': 'Tai dài, rộng, vị trí cao ngang chân mày.\u200b'}]"
27,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả lông mày?'}, {'from': 'gpt', 'value': 'Lông mày đậm, không có mi cốt, khoảng cách 2 mày hơi gần nhau.\u200b'}]"
28,original/hỏa/16.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả hàm?'}, {'from': 'gpt', 'value': 'Hàm hơi bạnh.\u200b'}]"
29,original/hỏa/21.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả Tam đình?'}, {'from': 'gpt', 'value': 'Tam đình: cân phân, Trung đình, Thượng và hạ đình bằng nhau.\u200b'}]"
30,original/hỏa/21.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mặt?'}, {'from': 'gpt', 'value': 'Mặt ngang + cốt ẩn -> tướng Hỏa.\u200b'}]"
31,original/hỏa/21.jpg,"[{'from': 'human', 'value': '<image>\nHãy mô tả mắt?'}, {'from': 'gpt', 'value': 'Mắt to, lồi.\u200b'}]"
